省（区、市）,市（区）,县,项目名称,所属基地,项目类型,项目阶段,核准容量（MW）,核准日期（年/月/日）,开工日期（年/月/日）,累计吊装容量（MW）,首次并网日期（年/月/日）,全部并网日期（年/月/日）,并网容量（MW）,项目公司,所属集团,备注,并网年份
河北省,承德市,围场满族蒙古族自治县,察哈尔围场四道沟风电场,,陆上集中式,在建,48,,,,,,,围场满族蒙古族自治县腾源风电有限公司,其它投资企业,,2019
河北省,秦皇岛市,昌黎县,昌黎刘台风电场,,陆上集中式,在建,48,2014/12/13,2016/11/1,10,,,,昌黎新天风能有限公司,河北建投,,2019
河北省,张家口市,崇礼县,崇礼麻泥坝风电场工程,,陆上集中式,在建,49.5,2016/9/21,2020/4/1,,,,,崇礼新天风能有限公司,河北建投,,2019
河北省,廊坊市,大城县,大城县子牙河风电场盾安一期100MW工程项目,,陆上集中式,在建,100,2017/7/5,2018/9/1,,,,,大城县盾安新能源有限公司,其它投资企业,,2019
河北省,邯郸市,大名县,大名荣光150兆瓦风电场（一期100MW）,,陆上集中式,在建,100,2017/11/2,2018/8/1,20,,,,大名县荣光新能源科技有限公司,其它投资企业,,2019
河北省,承德市,丰宁满族自治县,大唐丰宁王起营风电场工程,,陆上集中式,在建,300,2015/12/31,,,,,,大唐丰宁新能源有限公司,大唐,,2019
河北省,张家口市,沽源县,大唐沽源闪电河二期风电场,,陆上集中式,在建,99,2016/12/7,,,,,,大唐沽源新能源有限公司,大唐,,2019
河北省,张家口市,康保县,大唐康保鸡邓乌素风电场项目,,陆上集中式,在建,49.5,,2019/8/1,,,,,大唐康保新能源有限公司,大唐,,2019
河北省,承德市,丰宁满族自治县,东梁风电场丰宁森吉图全钒液流电池风储示范项目一期工程项目,,陆上集中式,在建,100,2017/11/17,2020/5/1,,,,,河北丰宁建投新能源有限公司,河北建投,,2019
河北省,承德市,丰宁满族自治县,丰宁县大河西三期风电场100MW风电工程项目,,陆上集中式,在建,100,2017/2/6,2020/1/1,2.2,,,,丰宁满族自治县康宁新能源有限公司,,,2019
河北省,张家口市,沽源县,沽源协合白土窑风电场,,陆上集中式,在建,48,2011/6/30,,,,,,沽源协合风力发电有限公司,中国风电集团,,2019
河北省,张家口市,康保县,国电联合动力康保忠义一期风电场,,陆上集中式,在建,50,2016/11/30,2018/10/1,,,,,国电联合动力技术有限公司,国电集团,,2019
河北省,唐山市,乐亭县,国电唐山乐亭月坨岛风电场30万千瓦工程　,,海上风电,在建,300,2014/12/31,2017/10/1,,,,,国电电力河北新能源乐亭分公司　,国能投,,2019
河北省,张家口市,沽源县,国华沽源十里山风电场,,陆上集中式,在建,150,2017/10/25,2019/11/1,,,,,国华（沽源）风电有限公司,国华投资,,2019
河北省,张家口市,沽源县,国华沽源太平沟风电场,,陆上集中式,在建,150,2017/10/25,2019/11/1,,,,,国华（沽源）风电有限公司,国华投资,,2019
河北省,衡水市,故城县,国华故城二期100MW风电场项目,,陆上集中式,在建,100,2017/8/31,2020/5/1,,,,,神华（故城）新能源有限责任公司,,,2019
