FID_1,Lat,Lon,built_rati,2016power
1,18.25,109.0625,0.00905797,4836.696605
2,18.25,109.375,0.0604592,108288.6847
3,18.25,109.6875,0.0108696,11757.39224
5,18.5,108.75,0.0140306,66426.04821
6,18.5,109.0625,0.00258799,10494.39831
7,18.5,109.375,0,0
8,18.5,109.6875,0.00362319,10111.55608
9,18.5,110,0.0257653,95374.40616
10,18.5,110.3125,0,0
11,18.75,108.75,0.00519481,13991.57268
12,18.75,109.0625,0.000527009,869.2635853
13,18.75,109.375,0,0
14,18.75,109.6875,0.00210804,1419.670679
15,18.75,110,0,0
16,18.75,110.3125,0.0126482,33969.1158
17,18.75,110.625,0,0
18,19,108.75,0.0359694,210818.0922
19,19,109.0625,0,0
20,19,109.375,0,0
21,19,109.6875,0.00181159,427.6520241
22,19,110,0.00102041,1371.627816
23,19,110.3125,0.000517598,1599.44195
24,19,110.625,0.000765306,889.7185171
25,19.25,108.75,0.00943878,62523.15831
26,19.25,109.0625,0.00802277,35017.3994
27,19.25,109.375,0.00382653,17487.76232
28,19.25,109.6875,0,0
29,19.25,110,0.00688775,26148.12684
30,19.25,110.3125,0.00750518,27837.93559
31,19.25,110.625,0.00663265,18599.74606
32,19.5,108.75,0.00025974,204.4564696
33,19.5,109.0625,0.00237154,18203.41337
34,19.5,109.375,0.0025974,22726.57078
35,19.5,109.6875,0.0284585,201691.0385
36,19.5,110,0.00207792,13891.05052
37,19.5,110.3125,0.00263505,18608.76065
38,19.5,110.625,0.00285714,21870.59527
39,19.5,110.9375,0.00415584,3414.555318
40,19.75,109.0625,0.0178571,11910.75731
41,19.75,109.375,0.00841837,59115.41889
42,19.75,109.6875,0.00414079,42043.67586
43,19.75,110,0.0132653,109019.117
44,19.75,110.3125,0.0165631,122720.2729
45,19.75,110.625,0.00586735,49846.24648
46,19.75,110.9375,0.000510204,2713.462678
47,20,109.375,0.000510204,66.61835057
48,20,109.6875,0.0134576,43821.45063
49,20,110,0.0117347,27818.10556
50,20,110.3125,0.185818,1184374.294
51,20,110.625,0.0107143,60481.53511
52,20,110.9375,0,0
54,20.25,110,0.00415584,8565.921824
55,20.25,110.3125,0.0142292,40900.98307
57,20.5,109.6875,0,0
58,20.5,110,0.00484694,25175.12729
59,20.5,110.3125,0,0
60,20.5,110.625,0.000255102,208.0349973
61,20.75,109.6875,0.000776398,1306.975389
62,20.75,110,0.00867347,55137.66512
63,20.75,110.3125,0.00465839,14769.56408
64,20.75,110.625,0.000255102,10.1416721
67,21,109.0625,0,0
69,21,109.6875,0.00237154,6716.757288
70,21,110,0.0285714,188589.0471
71,21,110.3125,0.0118577,27885.41692
72,21,110.625,0.0135065,28161.34829
73,21.25,101.25,0,0
74,21.25,101.5625,0,0
75,21.25,101.875,0,0
76,21.25,109.6875,0.00310559,4209.294838
77,21.25,110,0.0104592,62127.56642
78,21.25,110.3125,0.14001,856166.7434
79,21.25,110.625,0.0234694,67388.69154
82,21.5,100.3125,0,0
83,21.5,100.625,0.0102041,3985.136306
85,21.5,101.25,0,0
86,21.5,101.5625,0.00439959,362.6191133
88,21.5,107.5,0,0
89,21.5,107.8125,0.00714286,1148.772995
90,21.5,108.125,0.00776398,10438.95407
91,21.5,108.4375,0.00663265,2634.507881
92,21.5,108.75,0,0
93,21.5,109.0625,0.0872153,192433.1156
94,21.5,109.375,0.0201531,90330.66819
95,21.5,109.6875,0.00439959,8164.983501
96,21.5,110,0.0196429,102953.7278
97,21.5,110.3125,0.0460663,283285.6539
98,21.5,110.625,0.0451531,273047.9525
99,21.5,110.9375,0.0903061,512487.0723
100,21.5,111.25,0.00802277,20739.13804
101,21.5,111.5625,0.00229592,3221.217247
102,21.5,111.875,0.00284679,827.7476915
104,21.5,112.5,0,0
105,21.5,112.8125,0,0
106,21.75,100,0.00263505,93.33246178
107,21.75,100.3125,0.00311688,4192.166868
108,21.75,100.625,0.00051948,88.93539418
109,21.75,100.9375,0.00105402,130.0337886
110,21.75,101.25,0,0
111,21.75,101.5625,0,0
114,21.75,107.1875,0,0
115,21.75,107.5,0,0
116,21.75,107.8125,0,0
117,21.75,108.125,0.000790514,1825.238921
118,21.75,108.4375,0.0205195,99237.27285
119,21.75,108.75,0.0142857,71310.98512
120,21.75,109.0625,0.0237154,134113.2728
121,21.75,109.375,0.0158442,96417.64507
122,21.75,109.6875,0.00948617,47187.48658
123,21.75,110,0.00493506,27074.73234
124,21.75,110.3125,0.0152833,89866.56052
125,21.75,110.625,0.0306494,186449.5624
126,21.75,110.9375,0.128312,872778.0957
127,21.75,111.25,0.00447958,17271.87517
128,21.75,111.5625,0.0161039,68537.33282
129,21.75,111.875,0.0521739,201307.7627
130,21.75,112.1875,0.0012987,2001.758518
131,21.75,112.5,0.00632411,9875.124326
132,21.75,112.8125,0,0
137,22,99.375,0,0
138,22,99.6875,0,0
139,22,100,0,0
140,22,100.3125,0.00433673,10256.83568
141,22,100.625,0.00510204,6339.427098
142,22,100.9375,0.0131988,7972.310667
143,22,101.25,0,0
144,22,101.5625,0,0
146,22,106.5625,0,0
147,22,106.875,0.00408163,10054.59938
148,22,107.1875,0.000765306,2333.223912
149,22,107.5,0.0015528,7307.902966
150,22,107.8125,0.00204082,11801.99155
151,22,108.125,0,0
152,22,108.4375,0.00535714,42474.89878
153,22,108.75,0.0492347,338703.3735
154,22,109.0625,0.00181159,11413.81727
155,22,109.375,0.00178571,10411.25805
156,22,109.6875,0.0333851,140900.6444
157,22,110,0.0359694,167269.2292
158,22,110.3125,0.0015528,8400.486897
159,22,110.625,0.000765306,4114.093347
160,22,110.9375,0.0278061,140366.5762
161,22,111.25,0,0
162,22,111.5625,0.00127551,4012.052802
163,22,111.875,0.0437371,168962.9888
