FID_1,Lat,Lon,built_rati,2015power
160,22,110.9375,0.0278061,143300.8983
161,22,111.25,0,0
162,22,111.5625,0.00127551,4153.405585
163,22,111.875,0.0437371,176408.8889
164,22,112.1875,0.0193878,91983.52679
165,22,112.5,0.000258799,625.4632105
166,22,112.8125,0.0104592,35899.67382
167,22,113.125,0.0158163,23678.72112
168,22,113.4375,0.0134576,9784.266123
172,22,120.625,0.00672878,2351.768563
173,22,120.9375,0,0
175,22.25,99.0625,0,0
176,22.25,99.375,0,0
177,22.25,99.6875,0.00586735,13408.62562
178,22.25,100,0,0
179,22.25,100.3125,0,0
180,22.25,100.625,0,0
181,22.25,100.9375,0,0
182,22.25,101.25,0,0
183,22.25,101.5625,0,0
184,22.25,106.5625,0,0
185,22.25,106.875,0.0104592,47345.59004
186,22.25,107.1875,0.0137755,79215.48859
187,22.25,107.5,0.00284679,22754.4003
188,22.25,107.8125,0.00535714,25338.15658
189,22.25,108.125,0.00465839,22117.60715
190,22.25,108.4375,0.00357143,21641.97812
191,22.25,108.75,0.00637755,34321.01141
192,22.25,109.0625,0.0124224,75625.82585
193,22.25,109.375,0.00535714,26393.13923
194,22.25,109.6875,0.0160455,46661.85036
195,22.25,110,0.0951531,391020.9788
196,22.25,110.3125,0.0442547,152296.1884
197,22.25,110.625,0.00204082,9463.998566
198,22.25,110.9375,0.0280612,144050.1358
199,22.25,111.25,0,0
200,22.25,111.5625,0,0
201,22.25,111.875,0.0235507,55716.65231
202,22.25,112.1875,0.0341837,87600.12898
203,22.25,112.5,0.0168219,96837.69307
204,22.25,112.8125,0.047449,270937.7852
205,22.25,113.125,0.0272959,125952.5072
206,22.25,113.4375,0.229037,1302410.999
207,22.25,113.75,0.00255102,89.32813877
208,22.25,114.0625,0.0856625,30897.29232
209,22.25,114.375,0.0272959,10070.27871
211,22.25,120.625,0.000776398,45.57180445
212,22.25,120.9375,0,0
213,22.5,99.375,0,0
214,22.5,99.6875,0.000779221,1292.28208
215,22.5,100,0.00737813,8850.017391
216,22.5,100.3125,0.00051948,148.1072259
217,22.5,100.625,0,0
218,22.5,100.9375,0.00210804,683.4493875
219,22.5,101.25,0,0
220,22.5,101.5625,0.000527009,199.7449591
221,22.5,101.875,0.00233766,693.8199893
222,22.5,102.1875,0,0
224,22.5,102.8125,0,0
225,22.5,103.125,0,0
227,22.5,103.75,0,0
228,22.5,104.0625,0.00415584,3041.298403
229,22.5,106.5625,0.000527009,718.2863606
230,22.5,106.875,0,0
231,22.5,107.1875,0.00415584,28546.07327
232,22.5,107.5,0.0163373,128074.7358
233,22.5,107.8125,0.0106494,92914.56668
234,22.5,108.125,0.0173913,110115.6246
235,22.5,108.4375,0.00571429,45285.02111
236,22.5,108.75,0.00103896,7136.798058
237,22.5,109.0625,0.00395257,22208.14498
238,22.5,109.375,0.0446753,185749.3094
239,22.5,109.6875,0.00342556,5913.154399
240,22.5,110,0.123377,524104.4781
241,22.5,110.3125,0.104875,506260.4918
242,22.5,110.625,0.00051948,865.2769789
243,22.5,110.9375,0.000779221,2226.990904
244,22.5,111.25,0,0
245,22.5,111.5625,0.00857143,12871.347
246,22.5,111.875,0.00764163,25621.55627
247,22.5,112.1875,0.00103896,480.7516076
248,22.5,112.5,0.0231884,101049.5052
249,22.5,112.8125,0.0942857,453919.7822
250,22.5,113.125,0.331429,3883743.685
251,22.5,113.4375,0.328063,2458899.52
252,22.5,113.75,0.0646753,38929.14703
253,22.5,114.0625,0.363373,2007605.011
254,22.5,114.375,0.0345455,14822.75758
255,22.5,114.6875,0.00263505,752.4342324
256,22.5,115,0.00571429,1382.31198
257,22.5,120.3125,0.166753,609640.4553
258,22.5,120.625,0.0389987,140880.4151
260,22.75,99.375,0.001294,127.9606676
261,22.75,99.6875,0,0
262,22.75,100,0.00181159,1229.354648
263,22.75,100.3125,0.00127551,801.1507902
264,22.75,100.625,0.00153061,788.6434964
265,22.75,100.9375,0.0276915,32641.36006
266,22.75,101.25,0,0
267,22.75,101.5625,0,0
268,22.75,101.875,0.00102041,43.56489372
269,22.75,102.1875,0,0
270,22.75,102.5,0,0
271,22.75,102.8125,0,0
272,22.75,103.125,0.00207039,1066.831056
273,22.75,103.4375,0,0
274,22.75,103.75,0.000258799,63.93057479
275,22.75,104.0625,0,0
276,22.75,104.375,0.000258799,120.1409684
277,22.75,104.6875,0,0
278,22.75,106.25,0,0
280,22.75,106.875,0,0
281,22.75,107.1875,0.00510204,32725.26135
282,22.75,107.5,0.00388199,18362.28999
283,22.75,107.8125,0.0280612,188037.0138
284,22.75,108.125,0.10999,764701.5154
